author_id,article_id
0,141
1,256
3,768
4,791
5,899
6,899
7,899
8,899
9,899
10,899
11,899
12,899
13,899
14,1058
17,1422
18,1422
19,1422
20,1570
22,1685
23,1771
24,1920
25,1920
26,1920
27,1920
28,1920
29,1920
31,2350
33,2736
34,2736
35,2736
36,2780
37,2780
38,2780
39,2928
40,2928
41,2928
42,3009
43,3160
44,3160
45,3160
46,3251
47,3391
48,3391
49,3399
50,3399
51,3399
52,3448
54,5064
55,5064
56,5337
57,5512
58,5524
59,5524
60,5524
61,5568
62,5590
63,5590
64,5590
66,5934
67,5934
68,5934
69,5967
70,5967
71,5967
72,6045
73,6207
74,6207
75,6207
76,6375
77,6493
79,7167
80,7242
81,7242
82,7242
83,7283
84,7820
85,7895
86,7895
87,7895
88,8164
89,8308
90,8308
91,8308
93,8694
94,8751
95,8751
96,8751
97,8792
98,9101
99,9272
100,9320
101,9320
102,9320
104,9659
105,9757
106,9757
107,9757
108,10186
109,10417
110,10657
112,11131
113,11239
114,11239
115,11239
117,11504
118,11504
119,11504
120,11593
122,11741
123,11741
124,11896
125,11896
126,11896
127,11960
128,11960
129,11960
131,12075
132,12544
133,12665
134,12666
135,13022
139,13433
140,13437
141,13437
142,13711
143,13842
145,14508
146,14967
147,14973
148,15029
149,15462
150,15468
153,15730
154,15764
155,15920
156,16068
158,17100
159,17247
160,17495
161,17497
162,17798
163,18269
164,18428
165,18811
166,18953
168,19445
169,19547
170,19582
171,19639
172,19639
173,19639
174,19639
175,19688
177,20034
178,20071
179,20360
180,20631
181,20631
182,20749
186,21140
188,21458
189,21470
190,21523
191,21862
193,22078
194,22228
195,22445
196,22530
197,22541
198,22567
199,22583
200,22768
201,22794
202,23066
203,23081
204,23303
205,23341
207,23396
212,23985
214,24398
215,24401
216,24418
217,24915
218,24937
219,24998
221,25273
225,26057
226,26150
227,26150
228,26150
232,26617
235,27128
236,27272
237,27272
238,27272
239,27309
240,27701
241,27786
242,27885
246,28544
247,28544
248,28544
249,28983
251,29286
252,29553
255,29683
256,29832
258,30453
259,30562
260,31019
262,32950
263,32957
264,32995
265,33402
266,33458
267,33458
269,33533
270,33591
271,33698
272,33782
273,34197
275,34573
279,35661
283,36296
284,36314
287,37031
288,37119
289,37277
290,37351
291,37365
292,37409
293,37647
296,38042
299,39208
301,39468
